Original,Lemmas
morning,morning
nothing,nothing
good,good
about,about
it,it
Man,Man
not,not
here,here
much,much
but,but
it,it
must,must
be,be
a,a
revolving,revolve
door,door
around,around
here,here
the,the
faces,face
are,be
always,always
changing,change
I,I
am,be
only,only
here,here
because,because
my,my
breathing,breathe
is,be
getting,get
way,way
worse,worse
and,and
With,With
this,this
cough,cough
it's,it
really,really
hard,hard
to,to
get,get
a,a
full,full
breath,breath
Then,Then
this,this
burning,burn
in,in
my,my
chest,chest
isn't,be
helping,help
either,either
So,So
I,I
need,need
the,the
inhalers,inhaler
that,that
I,I
got,get
awhile,awhile
back,back
I,I
was,be
trying,try
to,to
avoid,avoid
them,them
all,all
together,together
but,but
now,now
I,I
am,be
between,between
a,a
rock,rock
and,and
a,a
hard,hard
place,place
My,My
back,back
pain,pain
keeps,keep
constantly,constantly
flaring,flare
up,up
to,to
add,add
to,to
everything,everything
else,else
that's,that
going,go
on,on
but,but
not,not
much,much
I,I
can,can
do,do
about,about
it,it
Whatever,Whatever
thatâ€™s,thatâ€™s
not,not
why,why
Iâ€™m,Iâ€™m
here,here
I,I
don't,do
want,want
to,to
spend,spend
all,all
day,day
here,here
answering,answer
a,a
bunch,bunch
of,of
questions,question
for,for
you,you
But,But
you're,you
the,the
boss,boss
Questions,Question
questions,question
and,and
then,then
more,more
questions,question
Great,Great
this,this
ia,ia
all,all
I,I
need,need
As,As
I,I
have,have
said,say
to,to
you,you
all,all
before,before
as,as
far,far
as,as
I,I
am,be
concerned,concern
it,it
all,all
started,start
in,in
Nam,Nam
They,They
sprayed,spray
a,a
shitload,shitload
of,of
chemicals,chemical
and,and
told,told
us,us
they,they
were,be
safe,safe
After,After
breathing,breathe
all,all
that,that
It,It
seems,seem
that,that
every,every
year,year
its,its
getting,get
worse,worse
Trying,Try
to,to
sleep,sleep
in,in
a,a
shelter,shelter
or,or
better,better
yet,yet
a,a
holding,hold
cell,cell
full,full
of,of
dust,dust
and,and
cock,cock
roach,roach
droppings,dropping
doesnâ€™t,doesnâ€™t
help,help
Then,Then
every,every
morning,morning
we,we
are,be
kicked,kick
out,out
into,into
this,this
damn,damn
cold,cold
weather,weather
so,so
then,then
I,I
am,am
breathing,breathe
in,in
cold,cold
air,air
all,all
day,day
long,long
No,No
where,where
I,I
can,can
really,really
go,go
to,to
stay,stay
warm,warm
So,So
you,you
just,just
have,have
to,to
hope,hope
for,for
the,the
best,best
or,or
better,better
yet,yet
a,a
miracle,miracle
I,I
smoke,smoke
as,as
much,much
as,as
I,I
can,can
about,about
a,a
half,half
pack,pack
to,to
a,a
pack,pack
a,a
week,week
on,on
a,a
homeless,homeless
man's,man
salary,salary
Smoking,Smoke
helps,help
me,me
relax,relax
and,and
gives,give
me,me
some,some
peace,peace
so,so
I,I
do,do
what,what
I,I
have,have
to,to
to,to
get,get
them,them
So,So
if,if
I,I
have,have
to,to
panhandle,panhandle
or,or
cash,cash
in,in
bottles,bottles
to,to
buy,buy
them,them
then,then
that's,that
what,what
I,I
do,do
If,If
need,need
be,be
I,I
can,can
bum,bum
a,a
few,few
smokes,smoke
off,off
someone,someone
at,at
the,the
shelter,shelter
in,in
exchange,exchange
for,for
something,something
I,I
have,have
stashed,stash
like,like
for,for
a,a
snack,snack
or,or
a,a
soda,soda
even,even
so,so
that's,that
what,what
I,I
do,do
for,for
my,my
sanity,sanity
Of,Of
course,course
I,I
know,know
the,the
smoking,smoke
makes,makes
my,my
breathing,breathe
worse,worse
and,and
this,this
cough,cough
Do,Do
you,you
think,think
Iâ€™m,Iâ€™m
stupid,stupid
It's,It
printed,print
on,on
the,the
package,package
What,What
do,do
you,you
expect,expect
from,from
me,me
I,I
am,be
in,in
the,the
cold,cold
all,all
day,day
long,long
and,and
usually,usually
sleeping,sleep
on,on
the,the
streets,street
or,or
in,in
that,that
dusty,dusty
crowded,crowded
shelter,shelter
No,No
matter,matter
where,where
I,I
am,be
I,I
struggle,struggle
to,to
breathe,breathe
or,or
find,find
myself,myself
wheezing,wheeze
especialliy,especialliy
in,in
that,that
shelter,shelter
At,At
least,least
I,I
get,get
some,some
enjoyment,enjoyment
from,from
smoking,smoke
When,When
I,I
had,had
them,them
I,I
used,use
them,them
like,like
I,I
was,be
told,told
One,One
I,I
take,take
when,when
I,I
really,really
canâ€™t,canâ€™t
breathe,breathe
and,and
the,the
other,other
one,one
was,be
for,for
every,every
day,day
But,But
I,I
wasn't,be
selling,sell
them,them
if,if
that's,that
what,what
you,you
think,think
they,they
were,be
stolen,steal
and,and
that's,that
the,the
only,only
reason,reason
why,why
I,I
came,came
in,in
Like,Like
I,I
said,say
I,I
am,be
only,only
here,here
because,because
I,I
can,can
barely,barely
breathe,breathe
If,If
I,I
had,had
money,money
to,to
buy,buy
them,them
or,or
could,can
get,get
them,them
myself,myself
I,I
won't,will
be,be
wasting,waste
you,you
time,time
or,or
mine,mine
But,But
I,I
canâ€™t,canâ€™t
afford,afford
the,the
prescription,prescription
they,they
gave,gave
me,me
and,and
I,I
don't,do
have,have
insurance,insurance
So,So
I,I
am,be
hoping,hope
to,to
gettrying,gettrying
to,to
get,get
those,those
free,free
samples,sample
again,again
But,But
just,just
so,so
you,you
know,know
I,I
am,be
risking,risk
my,my
neck,neck
using,use
them,them
they,they
are,be
a,a
hot,hot
commodity,commodity
Every,Every
addict,addict
is,be
trying,try
to,to
get,get
their,their
hands,hand
on,on
them,them
to,to
increase,increase
their,their
high,high
no,no
joke,joke
I,I
got,got
jumped,jump
They,They
beat,beat
me,me
bad,bad
just,just
for,for
a,a
couple,couple
of,of
inhalers,inhaler
and,and
a,a
backpack,backpack
with,with
the,the
few,few
belongings,belonging
that,that
I,I
have,have
to,to
my,my
name,name
And,And
a,a
bunch,bunch
of,of
newspaper,newspaper
I,I
carry,carry
with,with
me,me
to,to
stuff,stuff
my,my
clothes,clothes
to,to
stay,stay
warm,warm
Besides,Besides
using,using
the,the
inhalers,inhaler
is,be
when,when
a,a
nearby,nearby
church,church
gave,gave
away,away
winter,winter
scarves,scarf
and,and
face,face
masks,mask
around,around
Christmas,Christmas
time,time
then,then
I,I
could,can
cover,cover
my,my
face,face
and,and
I,I
even,even
got,got
a,a
pair,pair
of,of
good,good
gloves,glove
and,and
some,some
boots,boot
They,They
were,be
my,my
life,life
saver,saver
on,on
that,that
day,day
And,And
I,I
didn't,do
have,have
to,to
use,use
the,the
one,one
inhaler,inhaler
so,so
much,much
and,and
I,I
didn't,do
have,have
to,to
worry,worry
so,so
much,much
about,about
losing,losing
my,my
fingers,finger
or,or
toes,toes
to,to
the,the
cold,cold
Man,Man
What,What
ahelp,ahelp
that,that
was,be
because,because
breathing,breathe
all,all
that,that
damn,damn
cold,cold
air,air
makes,makes
it,it
impossible,impossible
for,for
me,me
to,to
breathe,breathe
and,and
then,then
I,I
get,get
a,a
hacking,hacking
cough,cough
that,that
just,just
won't,will
leave,leave
but,but
itâ€™s,itâ€™s
a,a
But,But
that,that
was,be
two,two
years,year
ago,ago
most,most
people,people
only,only
think,think
about,about
us,us
when,when
the,the
season,season
is,be
right,right
The,The
shelter,shelter
barely,barely
gives,give
out,out
any,any
thing,thing
to,to
really,really
help,help
in,in
this,this
cold,cold
Oh,Oh
maybe,maybe
a,a
cup,cup
or,or
cofee,cofee
or,or
hot,hot
chocolate,chocolate
if,if
they,they
have,have
it,it
on,on
hand,hand
That's,That
not,not
doing,do
anything,anything
to,to
help,help
my,my
breathing,breathe
or,or
my,my
freezing,freeze
hands,hands
and,and
feet,feet
for,for
sure,sure
My,My
face,face
and,and
arms,arm
It,It
feels,feel
like,like
it,it
hurts,hurt
everywhere,everywhere
Is,Is
that,that
bad,bad
Ok,Ok
but,but
that's,that
gonna,gonna
hurt,hurt
Iâ€™m,Iâ€™m
looking,look
first,first
at,at
your,your
leg,leg
You,You
have,have
a,a
big,big
gash,gash
Arms,Arm
feel,feel
good,good
Anything,Anything
to,to
stop,stop
the,the
bleeding,bleed
I'm,I
having,have
difficulty,difficulty
breathing,breathe
I'm,I
getting,get
a,a
heaviness,heavy
in,in
my,my
chest,chest
I'm,I
ok,ok
just,just
shaken,shake
up,up
