Stanza,Lemmas,Original
morning,morning,morning
nothing,nothing,nothing
good,good,good
about,about,about
it,it,it
man,Man,Man
not,not,not
here,here,here
much,much,much
but,but,but
it,it,it
must,must,must
be,be,be
a,a,a
revolving,revolve,revolving
door,door,door
around,around,around
here,here,here
the,the,the
face,face,faces
be,be,are
always,always,always
change,change,changing
I,I,I
be,be,am
only,only,only
here,here,here
because,because,because
my,my,my
breathing,breathe,breathing
be,be,is
get,get,getting
way,way,way
worse,worse,worse
and,and,and
with,With,With
this,this,this
cough,cough,cough
it,it,it's
be,be,
really,really,really
hard,hard,hard
to,to,to
get,get,get
a,a,a
full,full,full
breath,breath,breath
then,Then,Then
this,this,this
burn,burn,burning
in,in,in
my,my,my
chest,chest,chest
be,be,isn't
not,not,
help,help,helping
either,either,either
so,So,So
I,I,I
need,need,need
the,the,the
inhaler,inhaler,inhalers
that,that,that
I,I,I
get,get,got
awhile,awhile,awhile
back,back,back
I,I,I
be,be,was
try,try,trying
to,to,to
avoid,avoid,avoid
they,them,them
all,all,all
together,together,together
but,but,but
now,now,now
I,I,I
be,be,am
between,between,between
a,a,a
rock,rock,rock
and,and,and
a,a,a
hard,hard,hard
place,place,place
my,My,My
back,back,back
pain,pain,pain
keep,keep,keeps
constantly,constantly,constantly
flare,flare,flaring
up,up,up
to,to,to
add,add,add
to,to,to
everything,everything,everything
else,else,else
that,that,that's
be,be,
go,go,going
on,on,on
but,but,but
not,not,not
much,much,much
I,I,I
can,can,can
do,do,do
about,about,about
it,it,it
whatever,Whatever,Whatever
not,not,not
why,why,why
here,here,here
I,I,I
do,do,don't
not,not,
want,want,want
to,to,to
spend,spend,spend
all,all,all
day,day,day
here,here,here
answer,answer,answering
a,a,a
bunch,bunch,bunch
of,of,of
question,question,questions
for,for,for
you,you,you
but,But,But
you,you,you're
be,be,
the,the,the
boss,boss,boss
question,Question,Questions
question,question,questions
and,and,and
then,then,then
more,more,more
question,question,questions
great,Great,Great
this,this,this
ba,ia,ia
all,all,all
I,I,I
need,need,need
as,As,As
I,I,I
have,have,have
say,say,said
to,to,to
you,you,you
all,all,all
before,before,before
as,as,as
far,far,far
as,as,as
I,I,I
be,be,am
concerned,concern,concerned
it,it,it
all,all,all
start,start,started
in,in,in
nam,Nam,Nam
they,They,They
spray,spray,sprayed
a,a,a
shitload,shitload,shitload
of,of,of
chemical,chemical,chemicals
and,and,and
tell,tell,told
we,us,us
they,they,they
be,be,were
safe,safe,safe
after,After,After
breathe,breathe,breathing
all,all,all
that,that,that
it,It,It
seem,seem,seems
that,that,that
every,every,every
year,year,year
it,it,its
get,get,getting
worse,worse,worse
try,Try,Trying
to,to,to
sleep,sleep,sleep
in,in,in
a,a,a
shelter,shelter,shelter
or,or,or
better,better,better
yet,yet,yet
a,a,a
holding,hold,holding
cell,cell,cell
full,full,full
of,of,of
dust,dust,dust
and,and,and
cock,cock,cock
roach,roach,roach
dropping,dropping,droppings
help,help,help
then,Then,Then
every,every,every
morning,morning,morning
we,we,we
be,be,are
kick,kick,kicked
out,out,out
into,into,into
this,this,this
damn,damn,damn
cold,cold,cold
weather,weather,weather
so,so,so
then,then,then
I,I,I
be,be,am
breathe,breathe,breathing
in,in,in
cold,cold,cold
air,air,air
all,all,all
day,day,day
long,long,long
no,No,No
where,where,where
I,I,I
can,can,can
really,really,really
go,go,go
to,to,to
stay,stay,stay
warm,warm,warm
so,So,So
you,you,you
just,just,just
have,have,have
